=== TODOS LOS REGISTROS ===
id=114 | id_ep=P58 | id_vm=SOL13 | estado=Pago | socio=Gimena
id=198 | id_ep=P111 | id_vm=SOL1 | estado=Pendiente | socio=Xiomara
id=199 | id_ep=P112 | id_vm=SOL1 | estado=Pendiente | socio=Xiomara
id=200 | id_ep=P113 | id_vm=SOL1 | estado=Pendiente | socio=Xiomara
id=201 | id_ep=P114 | id_vm=SOL1 | estado=Pendiente | socio=Xiomara
id=202 | id_ep=P115 | id_vm=SOL1 | estado=Pendiente | socio=Xiomara
id=203 | id_ep=P116 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=204 | id_ep=P117 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=205 | id_ep=P118 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=206 | id_ep=P119 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=207 | id_ep=P120 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=208 | id_ep=P121 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=209 | id_ep=P122 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=210 | id_ep=P123 | id_vm=SOL2 | estado=Pendiente | socio=Diana
id=211 | id_ep=P124 | id_vm=SOL3 | estado=Pendiente | socio=Juan Carlos
id=212 | id_ep=P125 | id_vm=SOL3 | estado=Pendiente | socio=Juan Carlos
id=213 | id_ep=P126 | id_vm=SOL3 | estado=Pendiente | socio=Juan Carlos
id=214 | id_ep=P127 | id_vm=SOL3 | estado=Pendiente | socio=Juan Carlos
id=215 | id_ep=P128 | id_vm=SOL4 | estado=Pendiente | socio=Leonardo
id=216 | id_ep=P129 | id_vm=SOL4 | estado=Pendiente | socio=Leonardo
id=217 | id_ep=P130 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=218 | id_ep=P131 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=219 | id_ep=P132 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=220 | id_ep=P133 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=221 | id_ep=P134 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=222 | id_ep=P135 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=223 | id_ep=P136 | id_vm=SOL5 | estado=Pendiente | socio=Juan Carlos
id=224 | id_ep=P137 | id_vm=SOL6 | estado=Pendiente | socio=Lady
id=225 | id_ep=P138 | id_vm=SOL6 | estado=Pendiente | socio=Lady
id=226 | id_ep=P139 | id_vm=SOL6 | estado=Pendiente | socio=Lady
id=227 | id_ep=P140 | id_vm=SOL6 | estado=Pendiente | socio=Lady
id=228 | id_ep=P141 | id_vm=SOL7 | estado=Pendiente | socio=Doris
id=229 | id_ep=P142 | id_vm=SOL7 | estado=Pendiente | socio=Doris
id=230 | id_ep=P143 | id_vm=SOL7 | estado=Pendiente | socio=Doris
id=231 | id_ep=P144 | id_vm=SOL7 | estado=Pendiente | socio=Doris
id=232 | id_ep=P145 | id_vm=SOL8 | estado=Pendiente | socio=David
id=233 | id_ep=P146 | id_vm=SOL8 | estado=Pendiente | socio=David
id=234 | id_ep=P147 | id_vm=SOL8 | estado=Pendiente | socio=David
id=235 | id_ep=P148 | id_vm=SOL8 | estado=Pendiente | socio=David
id=236 | id_ep=P149 | id_vm=SOL8 | estado=Pendiente | socio=David
id=237 | id_ep=P150 | id_vm=SOL8 | estado=Pendiente | socio=David
id=238 | id_ep=P151 | id_vm=SOL9 | estado=Pendiente | socio=Jesus Vladimir
id=239 | id_ep=P152 | id_vm=SOL9 | estado=Pendiente | socio=Jesus Vladimir
id=240 | id_ep=P153 | id_vm=SOL9 | estado=Pendiente | socio=Jesus Vladimir
id=241 | id_ep=P154 | id_vm=SOL9 | estado=Pendiente | socio=Jesus Vladimir
id=242 | id_ep=P155 | id_vm=SOL10 | estado=Pendiente | socio=Vladimir
id=243 | id_ep=P156 | id_vm=SOL10 | estado=Pendiente | socio=Vladimir
id=244 | id_ep=P157 | id_vm=SOL10 | estado=Pendiente | socio=Vladimir
